id,movie_id,event_order,title,summary
9b403d59-6608-56e4-9fe9-47ca5bb4cff8,155,1,고담 은행 강도,"조커는 범죄 조직의 돈이 숨겨진 은행을 습격하고, 함께 움직인 일당까지 제거하며 고담의 기존 범죄 질서를 흔든다."
ae126c2d-8318-52b9-9885-6393c5fa1790,155,2,라우 체포와 범죄 조직 압박,"배트맨은 홍콩에서 라우를 붙잡아 고담으로 데려오고, 하비 덴트는 범죄 조직을 법정에서 압박할 기회를 얻는다."
b063730f-4fb1-59c9-9c4a-b91db02629e7,155,3,조커의 협박과 공개 살해,조커는 배트맨이 정체를 밝히지 않으면 사람들이 계속 죽을 것이라고 협박하며 고담 전체를 공포에 몰아넣는다.
674d50c6-9a2b-59d7-af55-4b39bf416267,155,4,펜트하우스 습격,"조커는 브루스 웨인의 모금 행사에 난입해 하비를 찾고, 레이첼을 위협하며 배트맨을 압박한다."
0aed666c-13f4-50da-ac37-b98c48852b2f,155,5,하비의 배트맨 자백,시민의 희생이 커지자 하비는 기자회견에서 자신이 배트맨이라고 주장해 조커를 끌어내려 한다.
e83c8974-b457-5876-9151-1be6e420b662,155,6,호송대 습격,"하비를 이송하는 호송대가 조커에게 습격당하고, 배트맨과 고든은 위험한 추격 끝에 조커를 체포한다."
d567096f-024a-5486-945e-d0eb6211d602,155,7,취조실과 동시 폭발,"조커는 체포된 뒤에도 하비와 레이첼의 위치를 이용해 배트맨을 조종하고, 폭발로 레이첼은 죽고 하비는 크게 다친다."
2e0588b5-d673-5eec-a814-9ddcd54e0ffc,155,8,하비의 변질,"병원에 있던 하비는 레이첼의 죽음과 자신의 상처를 받아들이지 못하고, 조커의 말에 흔들려 동전으로 복수를 결정한다."
44fe5ec4-aa32-546d-9b92-74b34a7a4650,155,9,병원 폭파와 고담 대피,조커는 병원을 폭파하고 도시 전체의 대피를 유도하며 고담의 공공 시스템을 마비시킨다.
f17f46b1-4615-56b9-8890-0e64cd85b770,155,10,페리 딜레마,"조커는 시민이 탄 배와 죄수가 탄 배에 폭탄을 설치하고 서로를 폭파하라고 강요하지만, 양쪽 모두 버튼을 누르지 않는다."
67413825-4a48-5a03-82e4-07c4f18b8ebd,155,11,최종 대치와 배트맨의 누명,배트맨은 조커를 막지만 하비의 복수극을 막는 과정에서 그가 저지른 죽음의 책임을 떠안고 도망자가 된다.
767a3f36-58c4-59e5-82ba-35f77d72e5c4,670,1,대수의 납치와 감금,오대수는 딸의 생일 밤 집으로 돌아가던 중 납치되어 사설 감금방에 갇힌다. 그는 이유도 기간도 모른 채 군만두와 텔레비전만 있는 방에서 살아간다.
7150313e-5fc7-5044-9d77-cb56fdb2b205,670,2,아내 살해 누명,대수는 텔레비전 뉴스를 통해 아내가 살해되었고 자신이 용의자로 몰렸다는 사실을 알게 된다. 가족사진 앨범도 사라진다.
ec2a4a56-3dbf-5dff-a3aa-416e4a2245b2,670,3,석방과 아키라 유도,"15년 뒤 대수는 갑자기 풀려나고, 돈과 휴대전화를 받은 뒤 일식집 아키라로 향한다. 그곳에서 미도를 만나고 전화 직후 쓰러진다."
a74fc21a-cc17-5197-bba2-520ead74ee20,670,4,미도의 보호와 동행,미도는 쓰러진 대수를 자기 집으로 데려가 돌본다. 두 사람은 대수의 과거와 감금 이유를 함께 추적하기 시작한다.
0ee78a02-a37e-5887-9399-4b1309abb5d2,670,5,감금방 추적,대수와 미도는 군만두 단서를 따라 사설 감금방의 위치를 찾아낸다. 대수는 감금 조직과 충돌하고 자신의 감금 기록 일부를 얻는다.
ca825e82-c23e-5d0d-a6a2-7778f4cfa9b9,670,6,우진의 게임 제안,"우진은 대수 앞에 모습을 드러내고, 자신이 왜 대수를 가두었는지 5일 안에 알아내면 스스로 죽겠다고 말한다."
9eb2aa97-7269-51c8-ae18-6794090412ca,670,7,상록고와 수아의 기억,"대수는 상록고 시절 자신이 이수아와 이우진에 대한 소문을 옮겼고, 그 뒤 수아가 죽었다는 사실에 접근한다."
53369f3f-0c38-5292-b0d1-315fec621caf,670,8,최면 조작의 폭로,"우진은 대수와 미도가 만난 과정이 최면 후 암시로 설계되었고, 두 사람이 서로 사랑하게 되도록 환경을 조작했다고 밝힌다."
d1e68fa8-a99e-5e35-9ddc-80c68e5a1c43,670,9,사진 앨범의 진실,대수는 보라색 상자 속 사진 앨범을 통해 미도가 성장한 자신의 딸이라는 사실을 알게 된다.
34457670-12e4-5a08-977f-b273688259b7,670,10,대수의 애원과 침묵,"대수는 미도에게 진실을 알리지 말라고 우진에게 빌고, 스스로 혀를 잘라 침묵의 대가를 치른다. 우진은 미도에게 상자를 닫아두라고 말한다."
0eb4a517-b445-5051-831a-1acf67f05bee,670,11,우진의 죽음과 기억,우진은 엘리베이터에서 수아의 죽음을 떠올린 뒤 스스로 생을 끝낸다. 대수는 펜트하우스에 남아 모든 진실을 안 채 무너진다.
4cac3bb6-e2eb-5884-974d-99c34191c027,670,12,기억 분리와 재회,대수는 형자에게 편지를 보내 진실을 모르는 자신과 비밀을 간직한 자신을 분리해 달라고 부탁한다. 이후 눈밭에서 미도와 다시 만난다.
