id,character_id,question,display_order
693316bc-35cf-57e7-8946-898b9d37d7bc,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,조커의 협박이 시작됐을 때 배트맨으로서 가장 먼저 계산한 위험은 무엇이었어?,1
b98b2f32-76e4-5e97-b9d4-76eefbe63143,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,호송대 습격에서 하비를 지키려 한 판단은 성공이었다고 봐?,2
bc76f550-4c75-5285-86d7-12c1f099d829,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,하비 덴트에게 고담의 희망을 맡기려 했던 이유를 말해줘.,3
7454a26d-8c3b-5740-a2a5-7a9509fb976e,11e4fae2-780a-5ebe-8e0b-0d406ed5e3a2,브루스 웨인과 배트맨 중 어느 쪽이 더 진짜 너라고 생각해?,4
8f5497ee-bbc1-588c-b1a9-046b341a2f6c,37a78a6a-ed3f-5763-9cc0-802a18fc968b,은행 강도에서 동료들까지 제거한 이유가 단순한 돈 때문은 아니었지?,1
c9ab624d-a773-542a-bb0f-2bf908b76b8c,37a78a6a-ed3f-5763-9cc0-802a18fc968b,페리 딜레마로 고담 시민들에게 무엇을 증명하려 했어?,2
90dcd9a8-8cb9-5030-9fb2-c3e50b3b6cf8,37a78a6a-ed3f-5763-9cc0-802a18fc968b,배트맨에게 집착한 이유는 그가 너와 닮았다고 봤기 때문이야?,3
f650a762-7119-551d-8744-1727f1ec7e93,37a78a6a-ed3f-5763-9cc0-802a18fc968b,"너는 정말 계획이 없는 사람인가, 아니면 계획 없는 척하는 사람인가?",4
a4c11c56-ea1e-5ef7-9395-25552c17b52e,9e9d6c6f-0678-52ec-9af8-9066874f5875,기자회견에서 배트맨이라고 자백한 순간 무엇을 감수하려 했어?,1
1a4a9352-d4f9-51cd-b9d2-3f857e3a8455,9e9d6c6f-0678-52ec-9af8-9066874f5875,레이첼을 잃은 뒤 법보다 동전의 판단을 믿게 된 이유가 뭐야?,2
93da6383-de0f-5ce1-a1a6-34262146f0ef,9e9d6c6f-0678-52ec-9af8-9066874f5875,브루스와 고든이 너를 배신했다고 느낀 지점을 설명해줘.,3
c3a1414d-b498-517a-b117-aed5f4dcf6b0,9e9d6c6f-0678-52ec-9af8-9066874f5875,고담의 백기사였던 하비와 투페이스가 된 너는 얼마나 다른 사람이야?,4
168fd353-a511-5362-a19b-289246b7d674,f36898cf-4392-558d-bad6-aa6e3dba9e34,"15년 동안 버티게 만든 건 복수심이었어, 아니면 살아야 한다는 본능이었어?",1
21ac15ea-db37-5fd8-b1bc-df1f6bbdd92c,f36898cf-4392-558d-bad6-aa6e3dba9e34,사진 앨범을 본 뒤 가장 먼저 지키고 싶었던 건 뭐였어?,2
c6f0e742-9807-5194-9f20-f52afcb6c01d,f36898cf-4392-558d-bad6-aa6e3dba9e34,미도에게 끝까지 말하지 않으려는 이유를 네 말로 설명해줘.,3
8fa8eca3-0261-5ee6-98bd-d4fdf62ae42e,f36898cf-4392-558d-bad6-aa6e3dba9e34,비밀을 아는 너와 모르는 너 중 어느 쪽이 진짜 오대수야?,4
bac4255f-f5e3-569c-b3aa-0d52ffcc6400,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,오대수를 15년 만에 풀어준 진짜 이유는 뭐였어?,1
0ccd1294-eac1-5567-9d48-9f35a1a8881e,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,사진 앨범을 보여주는 순간까지 계산해 둔 감정은 무엇이었어?,2
d63ae808-e30a-5ec7-886b-b56d7fb6f420,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,수아를 기억하는 마음과 오대수를 벌하려는 마음은 어떻게 연결돼 있어?,3
efae7d61-afc6-526e-9386-5c6e9e01dd1e,73d0f99f-2d2e-58bc-9478-54ba6bf2ee84,"너는 복수를 끝낸 사람인가, 아직 그날에 갇힌 사람인가?",4
b3f58b01-b7a2-527c-92a7-0b74df61fcd6,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,아키라에서 처음 오대수를 봤을 때 왜 그냥 지나치지 못했어?,1
c71072a1-f04e-5580-b7e5-4580369ebf64,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,보라색 상자를 열지 말라는 전화를 받았을 때 어떤 기분이었어?,2
719ea81d-d77a-5954-acea-c6b1e92a8a03,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,오대수를 무섭다고 느끼면서도 곁에 있으려 한 이유가 뭐야?,3
28eefe5a-fa78-5539-9e1f-12c94ae55990,2680f8d1-6eb9-5d1a-9b9c-00b8c99489ee,"너에게 사랑은 믿음에 가까워, 아니면 버티는 일에 가까워?",4
